Rank,Title,Rating,Genre,Members,Type,Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
72,Hajime no Ippo: Rising,8.59,"Comedy, Sports, Drama, Shounen","1,91,888",TV,25," None found, add some"," Madhouse, MAPPA", Manga, 22 min. ,Fall 2013,939
73,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59,"Action, Adventure, Shounen","6,61,282",TV,39, VIZ Media, David Production, Manga, 23 min. ,Fall 2018,"21,518"
74,Kimetsu no Yaiba,8.59,"Action, Demons, Historical, Shounen, Supernatural","18,83,554",TV,26, Aniplex of America, ufotable, Manga, 23 min. ,Spring 2019,"60,305"
75,Kimi no Suizou wo Tabetai,8.59,"Slice of Life, Drama, Romance","5,88,158",Movie,1, Aniplex of America, Studio VOLN, Novel, 1 hr. 48 min.,Null,"13,036"
76,Fate/Zero 2nd Season,8.58,"Action, Supernatural, Magic, Fantasy","8,93,636",TV,12, Aniplex of America, ufotable, Light novel, 24 min. ,Spring 2012,"17,543"
77,Fruits Basket 2nd Season,8.58,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","2,93,050",TV,25, Funimation, TMS Entertainment, Manga, 23 min. ,Spring 2020,"3,906"
78,Natsume Yuujinchou Go,8.58,"Slice of Life, Demons, Supernatural, Drama, Shoujo","1,47,337",TV,11," None found, add some", Shuka, Manga, 23 min. ,Fall 2016,657
79,One Piece,8.57,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","15,64,808",TV,9999," Funimation, 4Kids Entertainment", Toei Animation, Manga, 24 min.,Fall 1999,"1,25,934"
80,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,"Action, Sci-Fi, Space, Super Power, Mecha","1,79,388",Movie,1, Aniplex of America, Gainax, Original, 2 hr. 5 min.,Null,791
81,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.57,"Action, Fantasy, Magic, Supernatural","2,56,073",Movie,1, Aniplex of America, ufotable, Visual novel, 1 hr. 57 min.,Null,"2,722"
82,Bakuman. 3rd Season,8.56,"Comedy, Drama, Romance, Shounen","2,84,535",TV,25," None found, add some", J.C.Staff, Manga, 24 min. ,Fall 2012,"2,712"
83,Mushishi: Hihamukage,8.56,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","1,13,688",Special,1," None found, add some", Artland, Manga, 45 min.,Null,153
84,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.56,"Drama, Fantasy, Psychological, Thriller","5,42,710",TV,12," None found, add some", White Fox, Light novel, 28 min. ,Winter 2021,"9,119"
85,Zoku Natsume Yuujinchou,8.56,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,11,732",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Winter 2009,"1,309"
86,Sora yori mo Tooi Basho,8.55,"Adventure, Comedy, Drama","3,83,907",TV,13," None found, add some", Madhouse, Original, 23 min. ,Winter 2018,"11,079"
87,Yuru Camp△ Season 2,8.55,"Slice of Life, Comedy","1,44,146",TV,13," None found, add some", C-Station, Manga, 23 min. ,Winter 2021,"1,852"
88,Haikyuu!!: To the Top 2nd Season,8.55,"Comedy, Sports, Drama, School, Shounen","4,94,778",TV,12," None found, add some", Production I.G, Manga, 23 min. ,Fall 2020,"4,207"
89,Kara no Kyoukai 5: Mujun Rasen,8.55,"Action, Mystery, Supernatural, Drama, Romance, Thriller","2,00,592",Movie,1, Aniplex of America, ufotable, Light novel, 1 hr. 54 min.,Null,"3,942"
90,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.54,"Action, Adventure, Comedy, Demons, Magic, Fantasy","2,66,090",TV,12," None found, add some", 8bit, Light novel,9999,Summer 2021,"3,805"
91,Vivy: Fluorite Eye's Song,8.54,"Action, Music, Sci-Fi, Thriller","2,72,614",TV,13, Aniplex of America, Wit Studio, Original, 24 min. ,Spring 2021,"5,047"
92,Neon Genesis Evangelion: The End of Evangelion,8.53,"Sci-Fi, Dementia, Psychological, Drama, Mecha","6,59,171",Movie,1," GKIDS, Manga Entertainment"," Gainax, Production I.G", Original, 1 hr. 27 min.,Null,"19,163"
93,One Punch Man,8.53,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural","24,28,091",TV,12, VIZ Media, Madhouse, Web manga, 24 min. ,Fall 2015,"51,431"
94,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports","2,23,521",TV,101," Flatiron Film Company, Geneon Entertainment USA", Toei Animation, Manga, 23 min. ,Fall 1993,"5,300"
95,Gintama.: Porori-hen,8.53,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","1,45,916",TV,13," None found, add some", Bandai Namco Pictures, Manga, 23 min. ,Fall 2017,735
96,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.53,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen","1,99,250",TV,26," Bandai Entertainment, Manga Entertainment", Production I.G, Manga, 25 min. ,Winter 2004,"2,745"
97,Ansatsu Kyoushitsu 2nd Season,8.52,"Action, Comedy, School, Shounen","10,50,873",TV,25, Funimation, Lerche, Manga, 23 min. ,Winter 2016,"14,682"
98,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,27,525",Movie,1, Sentai Filmworks, Sunrise, Manga, 1 hr. 35 min.,Null,463
99,Aria the Origination,8.51,"Sci-Fi, Slice of Life, Fantasy, Shounen","1,04,293",TV,13, Nozomi Entertainment, Hal Film Maker, Manga, 24 min. ,Winter 2008,"3,603"
100,Gintama: The Semi-Final,8.51,"Action, Comedy, Historical, Parody, Samurai, Shounen","33,576",Special,2," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Null,160
51,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.68,"Comedy, Psychological, Romance, School, Seinen","8,45,675",TV,12, Aniplex of America, A-1 Pictures, Manga, 24 min. ,Spring 2020,"15,898"
52,Hajime no Ippo: New Challenger,8.66,"Comedy, Sports, Drama, Shounen","2,17,971",TV,26," None found, add some", Madhouse, Manga, 23 min. ,Winter 2009,"1,442"
53,Howl no Ugoku Shiro,8.66,"Adventure, Drama, Fantasy, Romance","9,67,467",Movie,1, Walt Disney Studios, Studio Ghibli, Novel, 1 hr. 59 min.,Null,"18,817"
54,Natsume Yuujinchou Shi,8.66,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,05,839",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Winter 2012,"1,763"
55,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.66,"Drama, Romance, School, Supernatural","4,65,020",Movie,1, Aniplex of America, CloverWorks, Light novel, 1 hr. 30 min.,Null,"7,373"
56,Tengen Toppa Gurren Lagann,8.65,"Action, Sci-Fi, Adventure, Comedy, Mecha","13,17,341",TV,27," ADV Films, Bandai Entertainment, Aniplex of America", Gainax, Original, 24 min. ,Spring 2007,"66,713"
57,Violet Evergarden,8.65,"Slice of Life, Drama, Fantasy","12,53,548",TV,13, Funimation, Kyoto Animation, Light novel, 24 min. ,Winter 2018,"39,983"
58,Natsume Yuujinchou Roku,8.64,"Slice of Life, Demons, Supernatural, Drama, Shoujo","1,47,790",TV,11," None found, add some", Shuka, Manga, 23 min. ,Spring 2017,884
59,Suzumiya Haruhi no Shoushitsu,8.64,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","5,18,464",Movie,1," Funimation, Bandai Entertainment", Kyoto Animation, Light novel, 2 hr. 42 min.,Null,"11,593"
60,Shingeki no Kyojin Season 3,8.63,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","15,73,035",TV,12, Funimation, Wit Studio, Manga, 23 min. ,Summer 2018,"15,161"
61,Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen","29,68,435",TV,37, VIZ Media, Madhouse, Manga, 23 min. ,Fall 2006,"1,35,324"
62,Josee to Tora to Sakana-tachi,8.63,"Slice of Life, Drama, Romance","1,49,391",Movie,1, Funimation, Bones, Novel, 1 hr. 38 min.,Null,"2,213"
63,Mushishi Zoku Shou: Suzu no Shizuku,8.62,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","1,04,249",Movie,1," None found, add some", Artland, Manga, 47 min.,Null,179
64,Ookami Kodomo no Ame to Yuki,8.62,"Fantasy, Slice of Life","6,67,970",Movie,1, Funimation, Studio Chizu, Original, 1 hr. 57 min.,Null,"9,784"
65,Ping Pong the Animation,8.62,"Drama, Psychological, Seinen, Sports","2,99,455",TV,11, Funimation, Tatsunoko Production, Manga, 23 min. ,Spring 2014,"12,149"
66,Kizumonogatari II: Nekketsu-hen,8.61,"Action, Mystery, Supernatural, Vampire","3,44,110",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 4 min.,Null,"1,897"
67,Fumetsu no Anata e,8.6,"Adventure, Drama, Shounen, Supernatural","4,62,138",TV,20," None found, add some", Brain's Base, Manga, 25 min. ,Spring 2021,"6,273"
68,Yakusoku no Neverland,8.6,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen","14,05,840",TV,12, Aniplex of America, CloverWorks, Manga, 22 min. ,Winter 2019,"29,355"
69,Yojouhan Shinwa Taikei,8.6,"Mystery, Comedy, Psychological, Romance","3,44,657",TV,11, Funimation, Madhouse, Novel, 23 min. ,Spring 2010,"14,695"
70,Natsume Yuujinchou San,8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,13,247",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Summer 2011,"1,222"
71,Shouwa Genroku Rakugo Shinjuu,8.59,"Drama, Historical, Josei","2,41,820",TV,13," None found, add some", Studio Deen, Manga, 26 min. ,Winter 2016,"5,091"
72,Hajime no Ippo: Rising,8.59,"Comedy, Sports, Drama, Shounen","1,91,888",TV,25," None found, add some"," Madhouse, MAPPA", Manga, 22 min. ,Fall 2013,939
73,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59,"Action, Adventure, Shounen","6,61,282",TV,39, VIZ Media, David Production, Manga, 23 min. ,Fall 2018,"21,518"
74,Kimetsu no Yaiba,8.59,"Action, Demons, Historical, Shounen, Supernatural","18,83,554",TV,26, Aniplex of America, ufotable, Manga, 23 min. ,Spring 2019,"60,305"
75,Kimi no Suizou wo Tabetai,8.59,"Slice of Life, Drama, Romance","5,88,158",Movie,1, Aniplex of America, Studio VOLN, Novel, 1 hr. 48 min.,Null,"13,036"
76,Fate/Zero 2nd Season,8.58,"Action, Supernatural, Magic, Fantasy","8,93,636",TV,12, Aniplex of America, ufotable, Light novel, 24 min. ,Spring 2012,"17,543"
77,Fruits Basket 2nd Season,8.58,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","2,93,050",TV,25, Funimation, TMS Entertainment, Manga, 23 min. ,Spring 2020,"3,906"
78,Natsume Yuujinchou Go,8.58,"Slice of Life, Demons, Supernatural, Drama, Shoujo","1,47,337",TV,11," None found, add some", Shuka, Manga, 23 min. ,Fall 2016,657
79,One Piece,8.57,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","15,64,784",TV,9999," Funimation, 4Kids Entertainment", Toei Animation, Manga, 24 min.,Fall 1999,"1,25,934"
80,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,"Action, Sci-Fi, Space, Super Power, Mecha","1,79,388",Movie,1, Aniplex of America, Gainax, Original, 2 hr. 5 min.,Null,791
81,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.57,"Action, Fantasy, Magic, Supernatural","2,56,073",Movie,1, Aniplex of America, ufotable, Visual novel, 1 hr. 57 min.,Null,"2,722"
82,Bakuman. 3rd Season,8.56,"Comedy, Drama, Romance, Shounen","2,84,548",TV,25," None found, add some", J.C.Staff, Manga, 24 min. ,Fall 2012,"2,712"
83,Mushishi: Hihamukage,8.56,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","1,13,688",Special,1," None found, add some", Artland, Manga, 45 min.,Null,153
84,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.56,"Drama, Fantasy, Psychological, Thriller","5,42,833",TV,12," None found, add some", White Fox, Light novel, 28 min. ,Winter 2021,"9,119"
85,Zoku Natsume Yuujinchou,8.56,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,11,732",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Winter 2009,"1,309"
86,Sora yori mo Tooi Basho,8.55,"Adventure, Comedy, Drama","3,83,907",TV,13," None found, add some", Madhouse, Original, 23 min. ,Winter 2018,"11,080"
87,Yuru Camp△ Season 2,8.55,"Slice of Life, Comedy","1,44,146",TV,13," None found, add some", C-Station, Manga, 23 min. ,Winter 2021,"1,852"
88,Haikyuu!!: To the Top 2nd Season,8.55,"Comedy, Sports, Drama, School, Shounen","4,94,778",TV,12," None found, add some", Production I.G, Manga, 23 min. ,Fall 2020,"4,207"
89,Kara no Kyoukai 5: Mujun Rasen,8.55,"Action, Mystery, Supernatural, Drama, Romance, Thriller","2,00,592",Movie,1, Aniplex of America, ufotable, Light novel, 1 hr. 54 min.,Null,"3,942"
90,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.54,"Action, Adventure, Comedy, Demons, Magic, Fantasy","2,66,090",TV,12," None found, add some", 8bit, Light novel,9999,Summer 2021,"3,805"
91,Vivy: Fluorite Eye's Song,8.54,"Action, Music, Sci-Fi, Thriller","2,72,614",TV,13, Aniplex of America, Wit Studio, Original, 24 min. ,Spring 2021,"5,047"
92,Neon Genesis Evangelion: The End of Evangelion,8.53,"Sci-Fi, Dementia, Psychological, Drama, Mecha","6,59,171",Movie,1," GKIDS, Manga Entertainment"," Gainax, Production I.G", Original, 1 hr. 27 min.,Null,"19,163"
93,One Punch Man,8.53,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural","24,28,091",TV,12, VIZ Media, Madhouse, Web manga, 24 min. ,Fall 2015,"51,431"
94,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports","2,23,521",TV,101," Flatiron Film Company, Geneon Entertainment USA", Toei Animation, Manga, 23 min. ,Fall 1993,"5,300"
95,Gintama.: Porori-hen,8.53,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","1,45,916",TV,13," None found, add some", Bandai Namco Pictures, Manga, 23 min. ,Fall 2017,735
96,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.53,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen","1,99,250",TV,26," Bandai Entertainment, Manga Entertainment", Production I.G, Manga, 25 min. ,Winter 2004,"2,745"
97,Ansatsu Kyoushitsu 2nd Season,8.52,"Action, Comedy, School, Shounen","10,50,873",TV,25, Funimation, Lerche, Manga, 23 min. ,Winter 2016,"14,682"
98,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,27,525",Movie,1, Sentai Filmworks, Sunrise, Manga, 1 hr. 35 min.,Null,463
99,Aria the Origination,8.51,"Sci-Fi, Slice of Life, Fantasy, Shounen","1,04,293",TV,13, Nozomi Entertainment, Hal Film Maker, Manga, 24 min. ,Winter 2008,"3,603"
100,Gintama: The Semi-Final,8.51,"Action, Comedy, Historical, Parody, Samurai, Shounen","33,576",Special,2," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Null,160
101,Hotaru no Haka,8.51,"Drama, Historical","4,97,612",Movie,1," ADV Films, Central Park Media, Sentai Filmworks", Studio Ghibli, Novel, 1 hr. 28 min.,Null,"5,507"
102,Rainbow: Nisha Rokubou no Shichinin,8.51,"Drama, Historical, Seinen, Thriller","3,28,166",TV,26, Funimation, Madhouse, Manga, 22 min. ,Spring 2010,"7,343"
103,Shingeki no Kyojin,8.51,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","29,46,580",TV,25, Funimation," Production I.G, Wit Studio", Manga, 24 min. ,Spring 2013,"1,29,853"
104,Steins;Gate 0,8.51,"Sci-Fi, Psychological, Drama, Thriller","6,63,517",TV,23, Funimation, White Fox, Visual novel, 23 min. ,Spring 2018,"9,153"
105,Tian Guan Ci Fu Special,8.51,"Historical, Supernatural, Drama","17,739",ONA,1," None found, add some", Haoliners Animation League, Novel, 22 min.,Null,188
106,Uchuu Kyoudai,8.51,"Comedy, Sci-Fi, Seinen, Slice of Life, Space","1,61,038",TV,99, Sentai Filmworks, A-1 Pictures, Manga, 24 min. ,Spring 2012,"3,381"
107,Perfect Blue,8.5,"Dementia, Drama, Horror, Psychological","4,64,148",Movie,1," GKIDS, Manga Entertainment", Madhouse, Novel, 1 hr. 21 min.,Null,"11,236"
108,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen","9,86,067",TV,26," Funimation, Geneon Entertainment USA", Manglobe, Original, 24 min. ,Spring 2004,"29,159"
109,Banana Fish,8.5,"Action, Adventure, Drama, Shoujo","5,55,973",TV,24," None found, add some", MAPPA, Manga, 22 min. ,Summer 2018,"20,100"
110,Holo no Graffiti,8.5,Comedy,"33,359",ONA,9999," None found, add some", Hololive Production, Other, 1 min.,Null,"1,358"
111,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,"Action, Adventure, Comedy, Supernatural, Drama, Shounen","7,52,479",TV,39, VIZ Media, David Production, Manga, 23 min. ,Spring 2016,"26,687"
112,Kenpuu Denki Berserk,8.5,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","4,71,697",TV,25," Media Blasters, NYAV Post", OLM, Manga, 25 min. ,Fall 1997,"18,779"
113,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.5,"Adventure, Comedy, Parody, Supernatural, Fantasy","5,18,814",Movie,1," None found, add some", J.C.Staff, Light novel, 1 hr. 30 min.,Null,"3,579"
114,Chihayafuru 3,8.49,"Game, Slice of Life, Sports, Drama, School, Josei","1,02,267",TV,24, Sentai Filmworks, Madhouse, Manga, 22 min. ,Fall 2019,"1,062"
115,Mo Dao Zu Shi,8.49,"Action, Adventure, Mystery, Historical, Supernatural","1,53,778",ONA,15," None found, add some", B.CMAY PICTURES, Novel, 24 min. ,Null,"4,455"
116,Haikyuu!!,8.48,"Comedy, Sports, Drama, School, Shounen","14,26,742",TV,25, Sentai Filmworks, Production I.G, Manga, 24 min. ,Spring 2014,"57,115"
117,Mob Psycho 100,8.48,"Action, Slice of Life, Comedy, Supernatural","14,61,632",TV,12," Funimation, Crunchyroll", Bones, Web manga, 24 min. ,Summer 2016,"30,583"
118,Nana,8.48,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo","4,64,128",TV,47," VIZ Media, Sentai Filmworks", Madhouse, Manga, 23 min. ,Spring 2006,"18,112"
119,Shingeki no Kyojin Season 2,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","19,32,117",TV,12, Funimation, Wit Studio, Manga, 24 min. ,Spring 2017,"16,887"
120,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.48,"Sci-Fi, Drama","4,84,038",Movie,1, Funimation, White Fox, Visual novel, 1 hr. 30 min.,Null,"2,143"
121,Zoku Owarimonogatari,8.48,"Mystery, Comedy, Supernatural, Vampire","1,70,029",Movie,6, Aniplex of America, Shaft, Light novel, 28 min. ,Null,727
122,Nichijou,8.47,"Slice of Life, Comedy, School, Shounen","7,06,974",TV,26," Funimation, Bandai Entertainment", Kyoto Animation, Manga, 23 min. ,Spring 2011,"18,680"
123,Saenai Heroine no Sodatekata Fine,8.47,"Harem, Comedy, Romance, Ecchi, School","1,17,028",Movie,1," None found, add some", CloverWorks, Light novel, 1 hr. 54 min.,Null,"1,548"
124,Mushishi Zoku Shou: Odoro no Michi,8.46,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","82,878",Special,1, Aniplex of America, Artland, Manga, 47 min.,Null,111
125,Owarimonogatari,8.46,"Mystery, Comedy, Supernatural, Vampire","3,91,143",TV,12, Aniplex of America, Shaft, Light novel, 26 min. ,Fall 2015,"2,378"
126,Kobayashi-san Chi no Maid Dragon S,8.46,"Slice of Life, Comedy, Fantasy","2,32,996",TV,9999," None found, add some", Kyoto Animation, Manga, 23 min.,Summer 2021,"1,839"
127,Golden Kamuy 3rd Season,8.45,"Action, Adventure, Historical, Seinen","99,483",TV,12, Funimation, Geno Studio, Manga, 23 min. ,Fall 2020,821
128,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.45,"Mystery, Psychological, Drama, Magic, Thriller","3,07,979",Movie,1, Aniplex of America, Shaft, Original, 1 hr. 56 min.,Null,"6,873"
129,Saiki Kusuo no Ψ-nan 2,8.45,"Slice of Life, Comedy, Supernatural, School, Shounen","4,33,534",TV,24," None found, add some"," J.C.Staff, Egg Firm", Manga, 24 min. ,Winter 2018,"3,109"
130,Yuu☆Yuu☆Hakusho,8.45,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen","5,31,479",TV,112, Funimation, Studio Pierrot, Manga, 24 min. ,Fall 1992,"17,221"
131,Mononoke,8.44,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen","2,44,685",TV,12, Flatiron Film Company, Toei Animation, Original, 22 min. ,Summer 2007,"5,993"
132,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.44,"Drama, Fantasy","2,92,422",Movie,1, Eleven Arts, P.A. Works, Original, 1 hr. 55 min.,Null,"5,028"
133,Gintama: Yorinuki Gintama-san on Theater 2D,8.44,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","34,844",Movie,2," None found, add some", Sunrise, Manga, 1 hr. 36 min. ,Null,43
134,Koukaku Kidoutai: Stand Alone Complex,8.44,"Action, Military, Sci-Fi, Police, Mecha, Seinen","3,41,998",TV,26," Bandai Entertainment, Manga Entertainment", Production I.G, Manga, 25 min. ,Fall 2002,"7,686"
135,Mo Dao Zu Shi: Xian Yun Pian,8.44,"Action, Mystery, Historical, Supernatural","64,874",ONA,8," None found, add some", B.CMAY PICTURES, Novel, 24 min. ,Null,787
136,Gotcha!,8.43,"Music, Fantasy","19,641",Music,1," None found, add some", Bones, Game, 3 min.,Null,184
137,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.43,"Action, Adventure, Supernatural, Drama, Shounen","7,56,653",TV,24, VIZ Media, David Production, Manga, 23 min. ,Winter 2015,"14,427"
138,Kara no Kyoukai 7: Satsujin Kousatsu (Go),8.43,"Action, Mystery, Supernatural, Romance, Thriller","1,75,029",Movie,1, Aniplex of America, ufotable, Light novel, 2 hr. 1 min.,Null,"1,972"
139,Major S5,8.43,"Comedy, Drama, Romance, Shounen, Sports","60,647",TV,25," None found, add some", SynergySP, Manga, 24 min. ,Winter 2009,566
140,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.43,"Psychological, Drama, Thriller, Fantasy","7,75,109",TV,13," None found, add some", White Fox, Light novel, 27 min. ,Summer 2020,"9,597"
141,Saiki Kusuo no Ψ-nan,8.43,"Comedy, School, Shounen, Slice of Life, Supernatural","7,37,096",TV,120, Funimation," J.C.Staff, Egg Firm", Manga, 5 min. ,Summer 2016,"18,255"
142,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,"Demons, Drama, Shoujo, Slice of Life, Supernatural","51,266",Movie,1, Aniplex of America, Shuka, Manga, 1 hr. 44 min.,Null,151
143,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.42,"Slice of Life, Comedy, Drama, Romance, School","4,88,055",TV,12, Sentai Filmworks, feel., Light novel, 24 min. ,Summer 2020,"10,121"
