Rank,Title,Rating,Genre,Members,Type,Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
144,Grand Blue,8.42,"Slice of Life, Comedy, Seinen","5,17,604",TV,12," None found, add some", Zero-G, Manga, 24 min. ,Summer 2018,"12,304"
145,Kaze ga Tsuyoku Fuiteiru,8.42,"Comedy, Sports, Drama","2,24,747",TV,23, Sentai Filmworks, Production I.G, Novel, 23 min. ,Fall 2018,"4,519"
146,Kono Oto Tomare! 2nd Season,8.42,"Drama, Music, Romance, School, Shounen","1,03,779",TV,13, Funimation, Platinum Vision, Manga, 23 min. ,Fall 2019,"1,082"
147,3-gatsu no Lion,8.41,"Drama, Game, Seinen, Slice of Life","5,27,772",TV,22, Aniplex of America, Shaft, Manga, 25 min. ,Fall 2016,"12,303"
148,Chihayafuru 2,8.41,"Drama, Game, Josei, School, Slice of Life, Sports","1,96,863",TV,25, Sentai Filmworks, Madhouse, Manga, 22 min. ,Winter 2013,"1,478"
149,Cross Game,8.41,"Comedy, Drama, Romance, School, Shounen, Sports","1,06,475",TV,50," None found, add some", SynergySP, Manga, 23 min. ,Spring 2009,"2,758"
150,Douluo Dalu: Xiaowu Juebie,8.41,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","6,139",ONA,13," None found, add some", Sparkly Key Animation Studio, Novel, 20 min. ,Null,87
101,Hotaru no Haka,8.51,"Drama, Historical","4,97,612",Movie,1," ADV Films, Central Park Media, Sentai Filmworks", Studio Ghibli, Novel, 1 hr. 28 min.,Null,"5,507"
102,Rainbow: Nisha Rokubou no Shichinin,8.51,"Drama, Historical, Seinen, Thriller","3,28,166",TV,26, Funimation, Madhouse, Manga, 22 min. ,Spring 2010,"7,343"
103,Shingeki no Kyojin,8.51,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","29,46,580",TV,25, Funimation," Production I.G, Wit Studio", Manga, 24 min. ,Spring 2013,"1,29,855"
104,Steins;Gate 0,8.51,"Sci-Fi, Psychological, Drama, Thriller","6,63,517",TV,23, Funimation, White Fox, Visual novel, 23 min. ,Spring 2018,"9,153"
105,Tian Guan Ci Fu Special,8.51,"Historical, Supernatural, Drama","17,739",ONA,1," None found, add some", Haoliners Animation League, Novel, 22 min.,Null,188
106,Uchuu Kyoudai,8.51,"Comedy, Sci-Fi, Seinen, Slice of Life, Space","1,61,038",TV,99, Sentai Filmworks, A-1 Pictures, Manga, 24 min. ,Spring 2012,"3,381"
107,Perfect Blue,8.5,"Dementia, Drama, Horror, Psychological","4,64,148",Movie,1," GKIDS, Manga Entertainment", Madhouse, Novel, 1 hr. 21 min.,Null,"11,236"
108,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen","9,86,174",TV,26," Funimation, Geneon Entertainment USA", Manglobe, Original, 24 min. ,Spring 2004,"29,159"
109,Banana Fish,8.5,"Action, Adventure, Drama, Shoujo","5,55,973",TV,24," None found, add some", MAPPA, Manga, 22 min. ,Summer 2018,"20,100"
110,Holo no Graffiti,8.5,Comedy,"33,359",ONA,9999," None found, add some", Hololive Production, Other, 1 min.,Null,"1,358"
111,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,"Action, Adventure, Comedy, Supernatural, Drama, Shounen","7,52,479",TV,39, VIZ Media, David Production, Manga, 23 min. ,Spring 2016,"26,687"
112,Kenpuu Denki Berserk,8.5,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","4,71,697",TV,25," Media Blasters, NYAV Post", OLM, Manga, 25 min. ,Fall 1997,"18,779"
113,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.5,"Adventure, Comedy, Parody, Supernatural, Fantasy","5,18,814",Movie,1," None found, add some", J.C.Staff, Light novel, 1 hr. 30 min.,Null,"3,579"
114,Chihayafuru 3,8.49,"Game, Slice of Life, Sports, Drama, School, Josei","1,02,267",TV,24, Sentai Filmworks, Madhouse, Manga, 22 min. ,Fall 2019,"1,062"
115,Mo Dao Zu Shi,8.49,"Action, Adventure, Mystery, Historical, Supernatural","1,53,778",ONA,15," None found, add some", B.CMAY PICTURES, Novel, 24 min. ,Null,"4,455"
116,Haikyuu!!,8.48,"Comedy, Sports, Drama, School, Shounen","14,26,742",TV,25, Sentai Filmworks, Production I.G, Manga, 24 min. ,Spring 2014,"57,115"
117,Mob Psycho 100,8.48,"Action, Slice of Life, Comedy, Supernatural","14,61,632",TV,12," Funimation, Crunchyroll", Bones, Web manga, 24 min. ,Summer 2016,"30,583"
118,Nana,8.48,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo","4,64,128",TV,47," VIZ Media, Sentai Filmworks", Madhouse, Manga, 23 min. ,Spring 2006,"18,112"
119,Shingeki no Kyojin Season 2,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","19,32,117",TV,12, Funimation, Wit Studio, Manga, 24 min. ,Spring 2017,"16,888"
120,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.48,"Sci-Fi, Drama","4,84,038",Movie,1, Funimation, White Fox, Visual novel, 1 hr. 30 min.,Null,"2,143"
121,Zoku Owarimonogatari,8.48,"Mystery, Comedy, Supernatural, Vampire","1,70,029",Movie,6, Aniplex of America, Shaft, Light novel, 28 min. ,Null,727
122,Nichijou,8.47,"Slice of Life, Comedy, School, Shounen","7,06,974",TV,26," Funimation, Bandai Entertainment", Kyoto Animation, Manga, 23 min. ,Spring 2011,"18,680"
123,Saenai Heroine no Sodatekata Fine,8.47,"Harem, Comedy, Romance, Ecchi, School","1,17,056",Movie,1," None found, add some", CloverWorks, Light novel, 1 hr. 54 min.,Null,"1,548"
124,Mushishi Zoku Shou: Odoro no Michi,8.46,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","82,878",Special,1, Aniplex of America, Artland, Manga, 47 min.,Null,111
125,Owarimonogatari,8.46,"Mystery, Comedy, Supernatural, Vampire","3,91,143",TV,12, Aniplex of America, Shaft, Light novel, 26 min. ,Fall 2015,"2,378"
126,Kobayashi-san Chi no Maid Dragon S,8.46,"Slice of Life, Comedy, Fantasy","2,32,996",TV,9999," None found, add some", Kyoto Animation, Manga, 23 min.,Summer 2021,"1,839"
127,Golden Kamuy 3rd Season,8.45,"Action, Adventure, Historical, Seinen","99,483",TV,12, Funimation, Geno Studio, Manga, 23 min. ,Fall 2020,821
128,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.45,"Mystery, Psychological, Drama, Magic, Thriller","3,07,979",Movie,1, Aniplex of America, Shaft, Original, 1 hr. 56 min.,Null,"6,873"
129,Saiki Kusuo no Ψ-nan 2,8.45,"Slice of Life, Comedy, Supernatural, School, Shounen","4,33,534",TV,24," None found, add some"," J.C.Staff, Egg Firm", Manga, 24 min. ,Winter 2018,"3,109"
130,Yuu☆Yuu☆Hakusho,8.45,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen","5,31,479",TV,112, Funimation, Studio Pierrot, Manga, 24 min. ,Fall 1992,"17,221"
131,Mononoke,8.44,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen","2,44,685",TV,12, Flatiron Film Company, Toei Animation, Original, 22 min. ,Summer 2007,"5,993"
132,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.44,"Drama, Fantasy","2,92,473",Movie,1, Eleven Arts, P.A. Works, Original, 1 hr. 55 min.,Null,"5,028"
133,Gintama: Yorinuki Gintama-san on Theater 2D,8.44,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","34,844",Movie,2," None found, add some", Sunrise, Manga, 1 hr. 36 min. ,Null,43
134,Koukaku Kidoutai: Stand Alone Complex,8.44,"Action, Military, Sci-Fi, Police, Mecha, Seinen","3,41,998",TV,26," Bandai Entertainment, Manga Entertainment", Production I.G, Manga, 25 min. ,Fall 2002,"7,686"
135,Mo Dao Zu Shi: Xian Yun Pian,8.44,"Action, Mystery, Historical, Supernatural","64,874",ONA,8," None found, add some", B.CMAY PICTURES, Novel, 24 min. ,Null,787
136,Gotcha!,8.43,"Music, Fantasy","19,641",Music,1," None found, add some", Bones, Game, 3 min.,Null,184
137,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.43,"Action, Adventure, Supernatural, Drama, Shounen","7,56,768",TV,24, VIZ Media, David Production, Manga, 23 min. ,Winter 2015,"14,428"
138,Kara no Kyoukai 7: Satsujin Kousatsu (Go),8.43,"Action, Mystery, Supernatural, Romance, Thriller","1,75,029",Movie,1, Aniplex of America, ufotable, Light novel, 2 hr. 1 min.,Null,"1,972"
139,Major S5,8.43,"Comedy, Drama, Romance, Shounen, Sports","60,647",TV,25," None found, add some", SynergySP, Manga, 24 min. ,Winter 2009,566
140,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.43,"Psychological, Drama, Thriller, Fantasy","7,75,109",TV,13," None found, add some", White Fox, Light novel, 27 min. ,Summer 2020,"9,597"
141,Saiki Kusuo no Ψ-nan,8.43,"Comedy, School, Shounen, Slice of Life, Supernatural","7,37,096",TV,120, Funimation," J.C.Staff, Egg Firm", Manga, 5 min. ,Summer 2016,"18,255"
142,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,"Demons, Drama, Shoujo, Slice of Life, Supernatural","51,266",Movie,1, Aniplex of America, Shuka, Manga, 1 hr. 44 min.,Null,151
143,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.42,"Slice of Life, Comedy, Drama, Romance, School","4,88,055",TV,12, Sentai Filmworks, feel., Light novel, 24 min. ,Summer 2020,"10,121"
144,Grand Blue,8.42,"Slice of Life, Comedy, Seinen","5,17,604",TV,12," None found, add some", Zero-G, Manga, 24 min. ,Summer 2018,"12,304"
145,Kaze ga Tsuyoku Fuiteiru,8.42,"Comedy, Sports, Drama","2,24,747",TV,23, Sentai Filmworks, Production I.G, Novel, 23 min. ,Fall 2018,"4,519"
146,Kono Oto Tomare! 2nd Season,8.42,"Drama, Music, Romance, School, Shounen","1,03,779",TV,13, Funimation, Platinum Vision, Manga, 23 min. ,Fall 2019,"1,082"
147,3-gatsu no Lion,8.41,"Drama, Game, Seinen, Slice of Life","5,27,772",TV,22, Aniplex of America, Shaft, Manga, 25 min. ,Fall 2016,"12,303"
148,Chihayafuru 2,8.41,"Drama, Game, Josei, School, Slice of Life, Sports","1,96,863",TV,25, Sentai Filmworks, Madhouse, Manga, 22 min. ,Winter 2013,"1,478"
149,Cross Game,8.41,"Comedy, Drama, Romance, School, Shounen, Sports","1,06,475",TV,50," None found, add some", SynergySP, Manga, 23 min. ,Spring 2009,"2,758"
150,Douluo Dalu: Xiaowu Juebie,8.41,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","6,139",ONA,13," None found, add some", Sparkly Key Animation Studio, Novel, 20 min. ,Null,87
151,Gintama°: Aizome Kaori-hen,8.41,"Comedy, Parody","65,374",OVA,2," None found, add some", Bandai Namco Pictures, Manga, 26 min. ,Null,117
152,Houseki no Kuni (TV),8.41,"Action, Drama, Fantasy, Mystery, Seinen","3,39,565",TV,12, Sentai Filmworks, Orange, Manga, 24 min. ,Fall 2017,"9,408"
153,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,"Comedy, Psychological, Romance, School, Seinen","11,44,927",TV,12, Aniplex of America, A-1 Pictures, Manga, 25 min. ,Winter 2019,"25,443"
154,Non Non Biyori Nonstop,8.41,"Slice of Life, Comedy, Seinen","78,697",TV,12, Sentai Filmworks, SILVER LINK., Manga, 24 min. ,Winter 2021,581
155,Shingeki no Kyojin: Kuinaki Sentaku,8.41,"Action, Fantasy, Shoujo","3,80,486",OVA,2," None found, add some", Wit Studio, Visual novel, 27 min. ,Null,"1,516"
156,Usagi Drop,8.41,"Slice of Life, Josei","4,17,743",TV,11," NIS America, Inc.", Production I.G, Manga, 22 min. ,Summer 2011,"5,597"
157,Natsume Yuujinchou Roku Specials,8.4,"Slice of Life, Demons, Supernatural, Drama, Shoujo","35,485",Special,2," None found, add some", Shuka, Manga, 23 min. ,Null,59
158,Tensei shitara Slime Datta Ken 2nd Season,8.4,"Action, Adventure, Comedy, Demons, Magic, Fantasy","5,32,587",TV,12, Funimation, 8bit, Light novel, 23 min. ,Winter 2021,"7,275"
159,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.4,"Slice of Life, Drama, Fantasy","2,46,999",Movie,1, Funimation, Kyoto Animation, Light novel, 1 hr. 31 min.,Null,814
160,Baccano!,8.4,"Action, Comedy, Historical, Mystery, Supernatural","7,65,278",TV,13," Funimation, Aniplex of America", Brain's Base, Light novel, 24 min. ,Summer 2007,"21,216"
161,Barakamon,8.4,"Comedy, Slice of Life","5,45,460",TV,12, Funimation, Kinema Citrus, Web manga, 22 min. ,Summer 2014,"10,966"
162,Hunter x Hunter,8.4,"Action, Adventure, Super Power, Fantasy, Shounen","4,63,405",TV,62, VIZ Media, Nippon Animation, Manga, 23 min. ,Fall 1999,"8,494"
163,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space","2,96,786",Movie,1, Sony Pictures Entertainment, Bones, Original, 1 hr. 55 min.,Null,"1,083"
164,Kizumonogatari I: Tekketsu-hen,8.39,Vampire,"4,14,823",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 4 min.,Null,"2,723"
165,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.39,"Drama, Magic, Psychological, Thriller","1,72,195",Movie,1, Aniplex of America, Shaft, Original, 1 hr. 49 min.,Null,962
166,Mushoku Tensei: Isekai Ittara Honki Dasu,8.39,"Drama, Magic, Ecchi, Fantasy","6,12,203",TV,11, Funimation, Studio Bind, Light novel, 23 min. ,Winter 2021,"11,690"
167,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.38,"Slice of Life, Supernatural, Drama","13,05,924",TV,11," NIS America, Inc., Aniplex of America", A-1 Pictures, Original, 22 min. ,Spring 2011,"29,591"
168,Bakuman. 2nd Season,8.38,"Comedy, Drama, Romance, Shounen","3,05,519",TV,25, Media Blasters, J.C.Staff, Manga, 24 min. ,Fall 2011,"1,275"
169,Hellsing Ultimate,8.38,"Action, Military, Horror, Supernatural, Vampire, Seinen","7,35,640",OVA,10," Funimation, Geneon Entertainment USA"," Madhouse, Satelight, Graphinica", Manga, 50 min. ,Null,"17,271"
170,Kaze no Tani no Nausicaä,8.38,"Adventure, Fantasy","2,98,545",Movie,1," Walt Disney Studios, GKIDS", Topcraft, Manga, 1 hr. 57 min.,Null,"3,918"
171,Kingdom 3rd Season,8.38,"Action, Military, Historical, Seinen","48,760",TV,26, Funimation," Pierrot Plus, Studio Signpost", Manga, 25 min. ,Spring 2020,560
172,Kamisama Hajimemashita: Kako-hen,8.37,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo","1,28,828",OVA,4," None found, add some", TMS Entertainment, Manga, 30 min. ,Null,769
173,Kingdom 2nd Season,8.37,"Action, Military, Historical, Seinen","86,796",TV,39, Funimation, Studio Pierrot, Manga, 25 min. ,Summer 2013,679
174,Kiseijuu: Sei no Kakuritsu,8.37,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen","14,20,367",TV,24, Sentai Filmworks, Madhouse, Manga, 23 min. ,Fall 2014,"27,055"
175,Tian Guan Ci Fu,8.37,"Action, Adventure, Historical, Supernatural, Drama","60,056",ONA,11," None found, add some", Haoliners Animation League, Novel, 25 min. ,Null,"1,948"
176,Psycho-Pass,8.36,"Action, Sci-Fi, Police, Psychological, Thriller","13,27,878",TV,22, Funimation, Production I.G, Original, 23 min. ,Fall 2012,"33,150"
177,Tenki no Ko,8.36,"Slice of Life, Drama, Romance, Fantasy","6,22,282",Movie,1, GKIDS, CoMix Wave Films, Original, 1 hr. 52 min.,Null,"8,378"
178,Uchuu Senkan Yamato 2199,8.36,"Action, Military, Sci-Fi, Space, Drama","97,310",OVA,26, Funimation," Xebec, AIC", Original, 25 min. ,Null,"1,521"
179,Haikyuu!!: To the Top,8.36,"Comedy, Sports, Drama, School, Shounen","6,12,449",TV,13," None found, add some", Production I.G, Manga, 24 min. ,Winter 2020,"3,809"
180,Mahou Shoujo Madoka★Magica,8.36,"Psychological, Drama, Magic, Thriller","10,47,245",TV,12, Aniplex of America, Shaft, Original, 24 min. ,Winter 2011,"44,624"
181,Major S6,8.36,"Comedy, Drama, Shounen, Sports","53,456",TV,25," None found, add some", SynergySP, Manga, 24 min. ,Spring 2010,422
182,Bakemonogatari,8.35,"Romance, Supernatural, Mystery, Vampire","11,64,986",TV,15, Aniplex of America, Shaft, Light novel, 24 min. ,Summer 2009,"42,346"
183,Given,8.35,"Drama, Music, Romance, Shounen Ai, Slice of Life","3,60,714",TV,11," None found, add some", Lerche, Manga, 22 min. ,Summer 2019,"11,512"
184,Hotarubi no Mori e,8.35,"Drama, Romance, Shoujo, Supernatural","6,40,917",Movie,1," None found, add some", Brain's Base, Manga, 45 min.,Null,"8,496"
185,Katanagatari,8.35,"Action, Adventure, Historical, Martial Arts, Romance","4,75,995",TV,12," NIS America, Inc.", White Fox, Light novel, 50 min. ,Winter 2010,"9,758"
186,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"Slice of Life, Demons, Supernatural, Drama, Shoujo","66,911",OVA,1," None found, add some", Brain's Base, Manga, 23 min.,Null,92
187,One Outs,8.35,"Sports, Psychological, Seinen","1,95,991",TV,25," None found, add some", Madhouse, Manga, 23 min. ,Fall 2008,"3,380"
188,Ookami to Koushinryou II,8.35,"Adventure, Historical, Romance, Fantasy","4,18,166",TV,12, Funimation," Brain's Base, Marvy Jack", Light novel, 24 min. ,Summer 2009,"3,898"
189,Romeo no Aoi Sora,8.35,"Adventure, Drama, Historical, Slice of Life","40,069",TV,33," None found, add some", Nippon Animation, Novel, 23 min. ,Winter 1995,533
190,Sakamichi no Apollon,8.34,"Drama, Josei, Music, Romance, School","3,10,763",TV,12, Sentai Filmworks," Tezuka Productions, MAPPA", Manga, 22 min. ,Spring 2012,"5,998"
191,Versailles no Bara,8.34,"Military, Historical, Drama, Romance, Shoujo","74,509",TV,40," Nozomi Entertainment, Discotek Media", Tokyo Movie Shinsha, Manga, 24 min. ,Fall 1979,"2,297"
192,Boku dake ga Inai Machi,8.34,"Mystery, Psychological, Supernatural, Seinen","15,83,104",TV,12, Aniplex of America, A-1 Pictures, Manga, 23 min. ,Winter 2016,"38,456"
193,Gintama: Shiroyasha Koutan,8.34,"Action, Sci-Fi, Comedy, Historical, Parody","57,104",Special,1," None found, add some", Sunrise, Manga, 10 min.,Null,74
194,Kemono no Souja Erin,8.34,"Drama, Fantasy, Slice of Life","72,374",TV,50," None found, add some"," Production I.G, Trans Arts", Novel, 25 min. ,Winter 2009,"1,368"
195,Luo Xiao Hei Zhan Ji (Movie),8.34,"Adventure, Drama, Fantasy","10,878",Movie,1," None found, add some"," None found, add some", Original, 1 hr. 41 min.,Null,153
196,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","74,003",Movie,1, Sentai Filmworks, Kinema Citrus, Web manga, 1 hr. 45 min.,Null,100
197,Mobile Suit Gundam: The Origin,8.34,"Action, Mecha, Military, Sci-Fi, Shounen, Space","56,282",OVA,6, NYAV Post, Sunrise, Manga, 1 hr. 11 min. ,Null,623
198,Doukyuusei (Movie),8.33,"Slice of Life, Romance, School, Shounen Ai","1,90,485",Movie,1, Aniplex of America, A-1 Pictures, Manga, 1 hr.,Null,"4,299"
199,Douluo Dalu: Xingdou Xian Ji Pian,8.33,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","2,739",ONA,13," None found, add some", Sparkly Key Animation Studio, Novel, 20 min. ,Null,21
200,Evangelion: 2.0 You Can (Not) Advance,8.33,"Action, Sci-Fi, Psychological, Drama, Mecha","3,85,698",Movie,1, Funimation, Khara, Original, 1 hr. 52 min.,Null,"2,691"
151,Gintama°: Aizome Kaori-hen,8.41,"Comedy, Parody","65,374",OVA,2," None found, add some", Bandai Namco Pictures, Manga, 26 min. ,Null,117
152,Houseki no Kuni (TV),8.41,"Action, Drama, Fantasy, Mystery, Seinen","3,39,565",TV,12, Sentai Filmworks, Orange, Manga, 24 min. ,Fall 2017,"9,408"
153,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,"Comedy, Psychological, Romance, School, Seinen","11,44,927",TV,12, Aniplex of America, A-1 Pictures, Manga, 25 min. ,Winter 2019,"25,443"
154,Non Non Biyori Nonstop,8.41,"Slice of Life, Comedy, Seinen","78,697",TV,12, Sentai Filmworks, SILVER LINK., Manga, 24 min. ,Winter 2021,581
155,Shingeki no Kyojin: Kuinaki Sentaku,8.41,"Action, Fantasy, Shoujo","3,80,486",OVA,2," None found, add some", Wit Studio, Visual novel, 27 min. ,Null,"1,516"
156,Usagi Drop,8.41,"Slice of Life, Josei","4,17,743",TV,11," NIS America, Inc.", Production I.G, Manga, 22 min. ,Summer 2011,"5,597"
157,Natsume Yuujinchou Roku Specials,8.4,"Slice of Life, Demons, Supernatural, Drama, Shoujo","35,485",Special,2," None found, add some", Shuka, Manga, 23 min. ,Null,59
158,Tensei shitara Slime Datta Ken 2nd Season,8.4,"Action, Adventure, Comedy, Demons, Magic, Fantasy","5,32,587",TV,12, Funimation, 8bit, Light novel, 23 min. ,Winter 2021,"7,275"
159,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.4,"Slice of Life, Drama, Fantasy","2,46,999",Movie,1, Funimation, Kyoto Animation, Light novel, 1 hr. 31 min.,Null,814
160,Baccano!,8.4,"Action, Comedy, Historical, Mystery, Supernatural","7,65,278",TV,13," Funimation, Aniplex of America", Brain's Base, Light novel, 24 min. ,Summer 2007,"21,217"
161,Barakamon,8.4,"Comedy, Slice of Life","5,45,460",TV,12, Funimation, Kinema Citrus, Web manga, 22 min. ,Summer 2014,"10,966"
162,Hunter x Hunter,8.4,"Action, Adventure, Super Power, Fantasy, Shounen","4,63,405",TV,62, VIZ Media, Nippon Animation, Manga, 23 min. ,Fall 1999,"8,494"
163,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space","2,96,786",Movie,1, Sony Pictures Entertainment, Bones, Original, 1 hr. 55 min.,Null,"1,083"
164,Kizumonogatari I: Tekketsu-hen,8.39,Vampire,"4,14,823",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 4 min.,Null,"2,723"
165,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.39,"Drama, Magic, Psychological, Thriller","1,72,195",Movie,1, Aniplex of America, Shaft, Original, 1 hr. 49 min.,Null,962
166,Mushoku Tensei: Isekai Ittara Honki Dasu,8.39,"Drama, Magic, Ecchi, Fantasy","6,12,203",TV,11, Funimation, Studio Bind, Light novel, 23 min. ,Winter 2021,"11,690"
167,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.38,"Slice of Life, Supernatural, Drama","13,05,924",TV,11," NIS America, Inc., Aniplex of America", A-1 Pictures, Original, 22 min. ,Spring 2011,"29,591"
168,Bakuman. 2nd Season,8.38,"Comedy, Drama, Romance, Shounen","3,05,519",TV,25, Media Blasters, J.C.Staff, Manga, 24 min. ,Fall 2011,"1,275"
169,Hellsing Ultimate,8.38,"Action, Military, Horror, Supernatural, Vampire, Seinen","7,35,640",OVA,10," Funimation, Geneon Entertainment USA"," Madhouse, Satelight, Graphinica", Manga, 50 min. ,Null,"17,271"
170,Kaze no Tani no Nausicaä,8.38,"Adventure, Fantasy","2,98,545",Movie,1," Walt Disney Studios, GKIDS", Topcraft, Manga, 1 hr. 57 min.,Null,"3,918"
171,Kingdom 3rd Season,8.38,"Action, Military, Historical, Seinen","48,760",TV,26, Funimation," Pierrot Plus, Studio Signpost", Manga, 25 min. ,Spring 2020,560
